,moves
0,19.0
1,9.0
2,5.0
3,18.0
4,7.0
5,19.0
6,3.0
7,3.0
8,2.0
9,2.0
10,3.0
11,3.0
12,23.0
13,10.0
14,1.0
15,2.0
16,1.0
17,2.0
18,2.0
19,7.0
20,2.0
21,21.0
22,18.0
23,1.0
24,17.0
25,2.0
26,3.0
27,1.0
28,3.0
29,1.0
30,11.0
31,10.0
32,1.0
33,21.0
34,6.0
35,1.0
36,3.0
37,16.0
38,10.0
39,15.0
40,21.0
41,30.0
42,16.0
43,20.0
44,30.0
45,3.0
46,19.0
47,1.0
48,2.0
49,1.0
50,30.0
51,8.0
52,5.0
53,1.0
54,3.0
55,4.0
56,1.0
57,3.0
58,6.0
59,1.0
60,4.0
61,14.0
62,9.0
63,17.0
64,1.0
65,5.0
66,3.0
67,9.0
68,13.0
69,4.0
70,7.0
71,2.0
72,1.0
73,5.0
74,30.0
75,3.0
76,1.0
77,1.0
78,1.0
79,2.0
80,2.0
81,1.0
82,10.0
83,9.0
84,10.0
85,1.0
86,2.0
87,4.0
88,1.0
89,3.0
90,5.0
91,8.0
92,30.0
93,30.0
94,30.0
95,1.0
96,10.0
97,2.0
98,1.0
99,1.0
100,8.0
101,9.0
102,16.0
103,5.0
104,1.0
105,4.0
106,24.0
107,2.0
108,2.0
109,1.0
110,1.0
111,28.0
112,25.0
113,1.0
114,3.0
115,6.0
116,3.0
117,10.0
118,2.0
119,30.0
120,2.0
121,1.0
122,17.0
123,9.0
124,1.0
125,6.0
126,1.0
127,30.0
128,4.0
129,11.0
130,3.0
131,1.0
132,30.0
133,2.0
134,1.0
135,6.0
136,1.0
137,7.0
138,2.0
139,20.0
140,3.0
141,1.0
142,1.0
143,1.0
144,17.0
145,10.0
146,14.0
147,30.0
148,9.0
149,5.0
150,6.0
151,9.0
152,4.0
153,1.0
154,3.0
155,19.0
156,2.0
157,1.0
158,1.0
159,12.0
160,2.0
161,30.0
162,3.0
163,8.0
164,5.0
165,18.0
166,1.0
167,2.0
168,3.0
169,15.0
170,11.0
171,14.0
172,30.0
173,1.0
174,1.0
175,1.0
176,5.0
177,6.0
178,12.0
179,8.0
180,16.0
181,7.0
182,1.0
183,30.0
184,2.0
185,1.0
186,4.0
187,30.0
188,9.0
189,30.0
190,1.0
191,7.0
192,26.0
193,13.0
194,3.0
195,24.0
196,3.0
197,1.0
198,1.0
