,moves
0,1.0
1,1.0
2,1.0
3,3.0
4,5.0
5,1.0
6,5.0
7,1.0
8,1.0
9,1.0
10,19.0
11,3.0
12,1.0
13,5.0
14,10.0
15,6.0
16,11.0
17,20.0
18,3.0
19,18.0
20,5.0
21,14.0
22,1.0
23,1.0
24,77.0
25,7.0
26,2.0
27,12.0
28,1.0
29,4.0
30,1.0
31,1.0
32,9.0
33,1.0
34,20.0
35,12.0
36,1.0
37,2.0
38,2.0
39,10.0
40,5.0
41,1.0
42,18.0
43,4.0
44,3.0
45,16.0
46,2.0
47,1.0
48,9.0
49,1.0
50,1.0
51,1.0
52,20.0
53,2.0
54,6.0
55,4.0
56,4.0
57,1.0
58,16.0
59,6.0
60,4.0
61,24.0
62,1.0
63,6.0
64,4.0
65,2.0
66,1.0
67,1.0
68,3.0
69,1.0
70,8.0
71,2.0
72,27.0
73,12.0
74,10.0
75,25.0
76,1.0
77,12.0
78,10.0
79,27.0
80,6.0
81,1.0
82,1.0
83,6.0
84,16.0
85,5.0
86,1.0
87,1.0
88,7.0
89,4.0
90,1.0
91,25.0
92,1.0
93,2.0
94,1.0
95,6.0
96,21.0
97,1.0
98,4.0
99,4.0
100,12.0
101,1.0
102,3.0
103,57.0
104,6.0
105,1.0
106,2.0
107,2.0
108,6.0
109,1.0
110,3.0
111,4.0
112,1.0
113,1.0
114,1.0
115,1.0
116,3.0
117,7.0
118,5.0
119,7.0
120,6.0
121,1.0
122,1.0
123,7.0
124,1.0
125,2.0
126,5.0
127,2.0
128,1.0
129,2.0
130,10.0
131,2.0
132,1.0
133,1.0
134,1.0
135,12.0
136,5.0
137,1.0
138,2.0
139,2.0
140,1.0
141,53.0
142,1.0
143,1.0
144,1.0
145,4.0
146,1.0
147,1.0
148,3.0
149,11.0
150,2.0
151,1.0
152,4.0
153,1.0
154,2.0
155,6.0
156,5.0
157,1.0
158,5.0
159,2.0
160,1.0
161,6.0
162,1.0
163,3.0
164,9.0
165,3.0
166,1.0
167,2.0
168,1.0
169,3.0
170,1.0
171,4.0
172,8.0
173,2.0
174,20.0
175,2.0
176,1.0
177,13.0
178,2.0
179,13.0
180,1.0
181,4.0
182,3.0
183,5.0
184,2.0
185,32.0
186,2.0
187,10.0
188,68.0
189,1.0
190,11.0
191,10.0
192,3.0
193,8.0
194,2.0
195,3.0
196,1.0
197,18.0
198,1.0
199,46.0
200,1.0
201,18.0
202,9.0
203,8.0
204,3.0
205,3.0
206,6.0
207,2.0
208,7.0
