,moves
0,2.0
1,1.0
2,27.0
3,8.0
4,1.0
5,1.0
6,1.0
7,2.0
8,3.0
9,2.0
10,5.0
11,7.0
12,1.0
13,3.0
14,9.0
15,10.0
16,28.0
17,13.0
18,3.0
19,19.0
20,1.0
21,30.0
22,1.0
23,7.0
24,1.0
25,1.0
26,3.0
27,1.0
28,6.0
29,1.0
30,1.0
31,5.0
32,30.0
33,1.0
34,4.0
35,1.0
36,3.0
37,4.0
38,1.0
39,2.0
40,1.0
41,4.0
42,1.0
43,1.0
44,1.0
45,6.0
46,1.0
47,30.0
48,1.0
49,17.0
50,6.0
51,5.0
52,10.0
53,6.0
54,1.0
55,9.0
56,8.0
57,1.0
58,11.0
59,30.0
60,2.0
61,30.0
62,30.0
63,7.0
64,2.0
65,1.0
66,3.0
67,11.0
68,5.0
69,15.0
70,23.0
71,4.0
72,4.0
73,6.0
74,30.0
75,5.0
76,15.0
77,1.0
78,25.0
79,1.0
80,17.0
81,1.0
82,24.0
83,2.0
84,2.0
85,15.0
86,2.0
87,1.0
88,1.0
89,2.0
90,1.0
91,19.0
92,1.0
93,1.0
94,17.0
95,1.0
96,1.0
97,23.0
98,1.0
99,30.0
100,16.0
101,2.0
102,1.0
103,1.0
104,4.0
105,1.0
106,2.0
107,1.0
108,15.0
109,5.0
110,7.0
111,18.0
112,2.0
113,15.0
114,1.0
115,5.0
116,21.0
117,30.0
118,26.0
119,1.0
120,30.0
121,3.0
122,30.0
123,14.0
124,11.0
125,1.0
126,9.0
127,1.0
128,1.0
129,29.0
130,1.0
131,30.0
132,12.0
133,15.0
134,1.0
135,1.0
136,9.0
137,1.0
138,17.0
139,1.0
140,30.0
141,30.0
142,11.0
143,29.0
144,2.0
145,1.0
146,22.0
147,7.0
148,2.0
149,30.0
150,15.0
151,19.0
152,3.0
153,30.0
154,2.0
155,3.0
156,1.0
157,20.0
158,5.0
159,9.0
160,6.0
161,25.0
162,23.0
163,30.0
164,1.0
165,5.0
166,30.0
167,1.0
168,27.0
169,4.0
170,30.0
171,7.0
172,4.0
173,5.0
174,2.0
175,25.0
176,21.0
177,4.0
178,8.0
179,4.0
180,1.0
181,8.0
182,1.0
183,4.0
184,4.0
185,1.0
186,11.0
187,1.0
188,1.0
189,6.0
190,9.0
191,10.0
192,5.0
193,5.0
194,14.0
195,3.0
196,6.0
197,12.0
198,10.0
199,4.0
200,1.0
201,30.0
202,25.0
203,6.0
204,4.0
205,6.0
206,1.0
207,11.0
208,20.0
209,2.0
210,11.0
211,1.0
212,4.0
213,6.0
214,30.0
215,7.0
216,1.0
217,13.0
218,12.0
219,2.0
220,1.0
221,24.0
222,1.0
223,1.0
224,1.0
225,1.0
226,3.0
227,1.0
228,3.0
229,25.0
230,6.0
231,17.0
232,1.0
233,25.0
234,1.0
235,30.0
236,26.0
237,1.0
238,3.0
239,1.0
240,4.0
241,15.0
242,1.0
243,30.0
244,21.0
245,2.0
246,20.0
247,30.0
248,5.0
249,1.0
250,17.0
251,8.0
252,10.0
253,3.0
254,4.0
255,4.0
256,13.0
257,30.0
258,2.0
259,1.0
260,12.0
261,1.0
262,8.0
263,17.0
264,8.0
265,3.0
266,2.0
267,1.0
268,2.0
269,7.0
270,2.0
271,17.0
272,26.0
273,30.0
274,1.0
275,2.0
276,5.0
277,30.0
278,17.0
279,1.0
280,11.0
281,1.0
282,8.0
283,2.0
284,8.0
285,3.0
286,5.0
287,2.0
288,1.0
289,2.0
290,3.0
291,1.0
292,1.0
293,30.0
294,15.0
295,4.0
296,4.0
297,30.0
298,1.0
299,3.0
300,1.0
301,21.0
302,1.0
303,29.0
304,28.0
305,3.0
306,4.0
307,3.0
308,27.0
309,1.0
310,15.0
311,13.0
312,2.0
313,1.0
314,30.0
315,5.0
316,2.0
317,5.0
318,7.0
319,1.0
320,3.0
321,3.0
322,4.0
323,5.0
324,1.0
325,8.0
326,5.0
327,3.0
328,1.0
329,2.0
330,5.0
331,2.0
332,2.0
333,30.0
334,1.0
335,6.0
336,1.0
337,1.0
338,7.0
339,3.0
340,30.0
341,6.0
342,17.0
343,7.0
344,5.0
345,4.0
346,4.0
347,3.0
348,30.0
349,18.0
350,26.0
351,1.0
352,25.0
353,9.0
354,8.0
355,3.0
356,10.0
357,5.0
358,1.0
359,15.0
360,5.0
361,11.0
362,30.0
363,30.0
364,30.0
365,4.0
366,1.0
367,4.0
368,30.0
369,1.0
370,30.0
371,3.0
372,2.0
373,2.0
374,21.0
375,1.0
376,9.0
377,30.0
378,9.0
379,30.0
380,27.0
381,2.0
382,1.0
383,7.0
384,1.0
385,16.0
386,30.0
387,21.0
388,1.0
389,19.0
390,28.0
391,1.0
392,4.0
393,1.0
394,1.0
395,1.0
396,3.0
397,3.0
398,12.0
399,30.0
400,6.0
401,5.0
402,30.0
403,6.0
404,2.0
405,26.0
406,4.0
407,22.0
408,6.0
409,1.0
410,4.0
411,5.0
412,30.0
413,30.0
414,30.0
415,7.0
416,3.0
417,1.0
418,11.0
419,3.0
420,1.0
421,1.0
422,8.0
423,11.0
424,1.0
425,8.0
426,3.0
427,6.0
428,29.0
429,4.0
430,1.0
431,8.0
432,6.0
433,9.0
434,30.0
435,1.0
436,1.0
437,2.0
438,1.0
439,1.0
440,1.0
441,1.0
442,3.0
443,3.0
444,10.0
445,12.0
446,4.0
447,30.0
448,30.0
449,1.0
450,18.0
451,8.0
452,18.0
453,1.0
454,30.0
455,1.0
456,4.0
457,8.0
458,2.0
459,30.0
460,14.0
461,2.0
462,5.0
463,2.0
464,22.0
465,1.0
466,10.0
467,30.0
468,1.0
469,9.0
470,1.0
471,1.0
472,5.0
473,7.0
474,13.0
475,2.0
476,1.0
477,6.0
478,1.0
479,1.0
480,1.0
481,2.0
482,29.0
483,24.0
484,4.0
485,22.0
486,21.0
487,3.0
488,1.0
489,6.0
490,30.0
491,1.0
492,1.0
493,3.0
494,4.0
495,14.0
496,1.0
497,1.0
498,16.0
499,2.0
500,30.0
501,1.0
502,16.0
503,13.0
504,6.0
505,22.0
506,1.0
507,3.0
508,12.0
509,7.0
510,17.0
511,1.0
512,1.0
513,7.0
514,21.0
515,11.0
516,1.0
517,1.0
518,21.0
519,22.0
520,1.0
521,1.0
522,26.0
523,10.0
524,1.0
525,8.0
526,3.0
527,30.0
528,1.0
529,3.0
530,1.0
531,25.0
532,24.0
533,1.0
534,12.0
535,1.0
536,28.0
537,3.0
538,30.0
539,30.0
540,30.0
541,30.0
542,30.0
543,1.0
544,26.0
545,8.0
546,25.0
547,2.0
548,30.0
549,25.0
550,1.0
551,1.0
552,9.0
553,5.0
554,29.0
555,19.0
556,1.0
557,3.0
558,23.0
559,10.0
560,1.0
561,3.0
562,7.0
563,1.0
564,22.0
565,18.0
566,6.0
567,1.0
568,5.0
569,5.0
570,3.0
571,6.0
572,23.0
573,16.0
574,3.0
575,7.0
576,9.0
577,12.0
578,1.0
579,2.0
580,2.0
581,1.0
582,1.0
583,3.0
584,15.0
585,4.0
586,30.0
587,4.0
588,8.0
589,30.0
590,17.0
591,14.0
592,8.0
593,1.0
594,11.0
595,24.0
596,22.0
597,3.0
598,1.0
599,2.0
600,1.0
601,1.0
602,27.0
603,1.0
604,1.0
605,9.0
606,13.0
607,1.0
608,11.0
609,4.0
610,30.0
611,30.0
612,15.0
613,1.0
614,2.0
615,30.0
616,9.0
617,30.0
618,12.0
619,1.0
620,16.0
621,4.0
622,1.0
623,30.0
624,11.0
625,1.0
626,12.0
627,14.0
628,30.0
629,1.0
630,10.0
631,30.0
632,30.0
633,20.0
634,7.0
635,24.0
636,4.0
637,2.0
638,26.0
639,1.0
640,1.0
641,2.0
642,2.0
643,3.0
644,8.0
645,13.0
646,14.0
647,2.0
648,30.0
649,2.0
650,6.0
651,30.0
652,5.0
653,1.0
654,4.0
655,16.0
656,30.0
657,1.0
658,27.0
659,1.0
660,12.0
661,1.0
662,1.0
663,18.0
664,30.0
665,28.0
