,moves
0,1.0
1,5.0
2,1.0
3,6.0
4,40.0
5,1.0
6,1.0
7,29.0
8,21.0
9,2.0
10,25.0
11,1.0
12,3.0
13,11.0
14,11.0
15,4.0
16,6.0
17,2.0
18,2.0
19,57.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,15.0
26,1.0
27,5.0
28,15.0
29,1.0
30,1.0
31,1.0
32,5.0
33,5.0
34,12.0
35,3.0
36,1.0
37,1.0
38,1.0
39,4.0
40,14.0
41,4.0
42,15.0
43,1.0
44,2.0
45,1.0
46,17.0
47,1.0
48,1.0
49,1.0
50,3.0
51,11.0
52,14.0
53,3.0
54,21.0
55,8.0
56,1.0
57,1.0
58,3.0
59,1.0
60,5.0
61,7.0
62,31.0
63,3.0
64,2.0
65,7.0
66,1.0
67,1.0
68,1.0
69,6.0
70,1.0
71,6.0
72,1.0
73,1.0
74,6.0
75,15.0
76,6.0
77,1.0
78,11.0
79,4.0
80,3.0
81,4.0
82,2.0
83,2.0
84,1.0
85,7.0
86,3.0
87,1.0
88,1.0
89,3.0
90,1.0
91,1.0
92,16.0
93,1.0
94,8.0
95,7.0
96,1.0
97,1.0
98,4.0
99,1.0
100,1.0
101,2.0
102,2.0
103,5.0
104,1.0
105,1.0
106,4.0
107,4.0
108,2.0
109,5.0
110,1.0
111,10.0
112,21.0
113,2.0
114,1.0
115,11.0
116,9.0
117,1.0
118,2.0
119,11.0
120,1.0
121,3.0
122,1.0
123,3.0
124,2.0
125,1.0
126,5.0
127,8.0
128,16.0
129,4.0
130,4.0
131,23.0
132,1.0
133,2.0
134,2.0
135,7.0
136,1.0
137,3.0
138,7.0
139,4.0
140,7.0
141,1.0
142,2.0
143,29.0
144,9.0
145,19.0
146,4.0
147,4.0
148,1.0
149,2.0
150,1.0
151,1.0
152,1.0
153,6.0
154,1.0
155,1.0
156,2.0
157,2.0
158,1.0
159,1.0
160,2.0
161,4.0
162,4.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,3.0
171,4.0
172,1.0
173,1.0
174,1.0
175,5.0
176,2.0
177,1.0
178,1.0
179,4.0
180,4.0
181,3.0
182,1.0
183,2.0
184,2.0
185,4.0
186,6.0
187,2.0
188,1.0
189,1.0
190,1.0
191,2.0
192,3.0
193,3.0
194,1.0
195,2.0
196,2.0
197,4.0
198,1.0
199,1.0
200,2.0
201,2.0
202,2.0
203,2.0
204,2.0
205,3.0
206,1.0
207,1.0
208,1.0
209,4.0
210,1.0
211,3.0
212,14.0
213,1.0
214,7.0
215,11.0
216,3.0
217,2.0
218,1.0
219,2.0
220,11.0
221,1.0
222,1.0
223,5.0
224,5.0
225,1.0
226,2.0
227,2.0
228,1.0
229,2.0
230,6.0
231,3.0
232,1.0
233,8.0
234,1.0
235,5.0
236,1.0
237,5.0
238,3.0
239,1.0
240,9.0
241,3.0
242,3.0
243,1.0
244,5.0
245,7.0
246,1.0
247,1.0
248,3.0
249,9.0
250,2.0
251,1.0
252,2.0
253,4.0
254,2.0
255,1.0
256,4.0
257,3.0
258,2.0
259,5.0
260,2.0
261,1.0
262,2.0
263,1.0
264,1.0
265,2.0
266,1.0
267,5.0
268,1.0
269,2.0
270,5.0
271,1.0
272,3.0
273,4.0
274,2.0
275,8.0
276,2.0
277,5.0
278,1.0
279,2.0
280,1.0
281,1.0
282,1.0
283,3.0
284,13.0
285,14.0
286,3.0
287,5.0
288,5.0
289,4.0
290,1.0
291,3.0
292,1.0
293,2.0
294,2.0
295,1.0
296,3.0
297,3.0
298,1.0
299,3.0
300,1.0
301,4.0
302,2.0
303,1.0
304,3.0
305,4.0
306,2.0
307,1.0
308,6.0
309,7.0
310,1.0
311,3.0
312,3.0
313,10.0
314,2.0
315,10.0
316,3.0
317,1.0
318,2.0
319,3.0
320,1.0
321,4.0
322,1.0
323,1.0
324,10.0
325,1.0
326,6.0
327,3.0
328,1.0
329,3.0
330,5.0
331,3.0
332,1.0
333,3.0
334,1.0
335,6.0
336,1.0
337,4.0
338,1.0
339,12.0
340,2.0
341,3.0
342,5.0
343,1.0
344,1.0
345,2.0
346,7.0
347,3.0
348,13.0
349,6.0
350,4.0
351,1.0
352,1.0
353,3.0
354,1.0
355,2.0
356,2.0
357,2.0
358,1.0
359,1.0
360,5.0
361,7.0
362,2.0
363,1.0
364,4.0
365,1.0
366,5.0
367,3.0
368,5.0
369,1.0
370,1.0
371,1.0
372,1.0
373,1.0
374,1.0
375,3.0
376,2.0
377,6.0
378,1.0
379,2.0
380,3.0
381,2.0
382,1.0
383,5.0
384,1.0
385,3.0
386,2.0
387,1.0
388,9.0
389,1.0
390,2.0
391,1.0
392,2.0
393,1.0
394,1.0
395,2.0
396,1.0
397,3.0
398,2.0
399,1.0
400,1.0
401,1.0
402,2.0
403,1.0
404,4.0
405,2.0
406,1.0
407,1.0
408,5.0
409,5.0
410,1.0
411,1.0
412,3.0
413,2.0
414,5.0
415,5.0
416,2.0
417,1.0
418,1.0
419,3.0
420,1.0
421,9.0
422,1.0
423,1.0
424,2.0
425,4.0
426,5.0
427,1.0
428,1.0
429,1.0
430,4.0
431,2.0
432,4.0
433,3.0
434,1.0
435,2.0
436,1.0
437,2.0
438,2.0
439,9.0
440,5.0
441,2.0
442,5.0
443,1.0
444,8.0
445,1.0
446,4.0
447,1.0
448,1.0
449,2.0
450,7.0
451,5.0
452,1.0
453,1.0
454,2.0
455,2.0
456,2.0
457,3.0
458,4.0
459,1.0
460,11.0
461,1.0
