,moves
0,1.0
1,11.0
2,1.0
3,5.0
4,1.0
5,4.0
6,6.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,46.0
13,1.0
14,10.0
15,1.0
16,6.0
17,3.0
18,1.0
19,1.0
20,1.0
21,1.0
22,2.0
23,1.0
24,9.0
25,8.0
26,1.0
27,4.0
28,15.0
29,1.0
30,7.0
31,1.0
32,33.0
33,12.0
34,5.0
35,13.0
36,6.0
37,7.0
38,23.0
39,3.0
40,11.0
41,20.0
42,1.0
43,15.0
44,2.0
45,13.0
46,10.0
47,16.0
48,1.0
49,20.0
50,1.0
51,3.0
52,3.0
53,1.0
54,7.0
55,2.0
56,5.0
57,3.0
58,12.0
59,24.0
60,3.0
61,7.0
62,47.0
63,1.0
64,3.0
65,11.0
66,1.0
67,1.0
68,24.0
69,6.0
70,8.0
71,1.0
72,3.0
73,2.0
74,4.0
75,10.0
76,5.0
77,9.0
78,12.0
79,21.0
80,1.0
81,1.0
82,9.0
83,12.0
84,2.0
85,8.0
86,20.0
87,45.0
88,10.0
89,1.0
90,1.0
91,1.0
92,14.0
93,2.0
94,1.0
95,3.0
96,2.0
97,21.0
98,1.0
99,1.0
100,7.0
101,1.0
102,3.0
103,24.0
104,17.0
105,1.0
106,6.0
107,2.0
108,6.0
109,5.0
110,4.0
111,1.0
112,1.0
113,4.0
114,38.0
115,3.0
116,2.0
117,4.0
118,7.0
119,1.0
120,3.0
121,30.0
122,5.0
123,3.0
124,1.0
125,33.0
126,1.0
127,1.0
128,49.0
129,5.0
130,3.0
131,3.0
132,2.0
133,22.0
134,2.0
135,23.0
136,1.0
137,6.0
138,1.0
139,3.0
140,1.0
141,1.0
142,1.0
143,2.0
144,10.0
145,5.0
146,1.0
147,9.0
148,7.0
149,15.0
150,39.0
151,8.0
152,22.0
153,10.0
154,1.0
155,2.0
156,2.0
157,1.0
158,3.0
159,8.0
160,10.0
161,1.0
162,13.0
163,1.0
164,5.0
165,3.0
166,1.0
167,1.0
168,15.0
169,9.0
170,1.0
171,5.0
172,7.0
173,8.0
174,1.0
175,18.0
176,14.0
177,1.0
178,1.0
179,5.0
180,1.0
181,16.0
182,2.0
183,4.0
184,2.0
185,8.0
186,3.0
187,1.0
188,3.0
189,20.0
190,6.0
191,6.0
192,1.0
193,1.0
194,3.0
195,2.0
196,5.0
197,9.0
198,2.0
199,1.0
200,1.0
201,7.0
202,1.0
203,1.0
204,4.0
205,6.0
206,1.0
207,9.0
208,1.0
209,1.0
210,4.0
211,5.0
212,12.0
213,5.0
214,4.0
215,1.0
216,26.0
217,3.0
218,1.0
219,12.0
220,1.0
221,6.0
222,8.0
223,5.0
224,3.0
225,6.0
226,1.0
227,2.0
228,1.0
229,1.0
230,8.0
231,20.0
232,11.0
233,13.0
234,13.0
235,16.0
236,1.0
237,4.0
