,moves
0,1.0
1,5.0
2,1.0
3,6.0
4,23.0
5,1.0
6,1.0
7,10.0
8,1.0
9,1.0
10,2.0
11,5.0
12,3.0
13,21.0
14,3.0
15,9.0
16,9.0
17,15.0
18,15.0
19,2.0
20,2.0
21,2.0
22,22.0
23,1.0
24,9.0
25,12.0
26,1.0
27,6.0
28,1.0
29,2.0
30,8.0
31,4.0
32,1.0
33,3.0
34,8.0
35,43.0
36,3.0
37,5.0
38,18.0
39,21.0
40,5.0
41,11.0
42,23.0
43,1.0
44,6.0
45,3.0
46,2.0
47,11.0
48,5.0
49,33.0
50,2.0
51,19.0
52,1.0
53,12.0
54,14.0
55,2.0
56,5.0
57,1.0
58,5.0
59,6.0
60,1.0
61,3.0
62,16.0
63,22.0
64,13.0
65,20.0
66,3.0
67,1.0
68,2.0
69,13.0
70,2.0
71,20.0
72,5.0
73,4.0
74,32.0
75,1.0
76,19.0
77,3.0
78,37.0
79,2.0
80,7.0
81,4.0
82,1.0
83,1.0
84,3.0
85,14.0
86,3.0
87,13.0
88,2.0
89,5.0
90,1.0
91,17.0
92,10.0
93,1.0
94,2.0
95,3.0
96,18.0
97,6.0
98,6.0
99,2.0
100,2.0
101,5.0
102,6.0
103,2.0
104,5.0
105,4.0
106,2.0
107,3.0
108,2.0
109,1.0
110,29.0
111,12.0
112,1.0
113,5.0
114,5.0
115,13.0
116,2.0
117,18.0
118,9.0
119,13.0
120,6.0
121,3.0
122,1.0
123,5.0
124,4.0
125,24.0
126,3.0
127,1.0
128,5.0
129,2.0
130,5.0
131,14.0
132,5.0
133,12.0
134,24.0
135,9.0
136,3.0
137,2.0
138,1.0
139,8.0
140,12.0
141,5.0
142,25.0
143,1.0
144,1.0
145,1.0
146,6.0
147,23.0
148,8.0
149,1.0
150,24.0
151,1.0
152,1.0
153,12.0
154,1.0
155,12.0
156,3.0
157,12.0
158,41.0
159,12.0
160,11.0
161,28.0
162,14.0
163,3.0
164,6.0
165,2.0
166,3.0
167,1.0
168,18.0
169,5.0
170,2.0
171,1.0
172,1.0
173,4.0
174,1.0
175,37.0
176,1.0
177,5.0
178,1.0
179,25.0
180,18.0
181,5.0
182,1.0
183,8.0
184,7.0
185,1.0
186,8.0
187,1.0
188,16.0
189,1.0
190,18.0
191,1.0
192,5.0
193,7.0
194,22.0
195,1.0
196,1.0
197,24.0
198,1.0
199,18.0
200,1.0
201,4.0
202,1.0
203,1.0
204,1.0
205,9.0
206,9.0
207,2.0
208,6.0
209,2.0
210,1.0
211,13.0
212,3.0
213,11.0
214,1.0
215,4.0
216,1.0
217,7.0
218,3.0
219,4.0
220,48.0
221,1.0
222,48.0
223,1.0
224,1.0
225,13.0
226,1.0
227,2.0
228,1.0
229,2.0
230,2.0
231,7.0
232,3.0
233,2.0
234,2.0
235,7.0
236,4.0
237,57.0
238,14.0
239,1.0
240,3.0
241,1.0
242,17.0
243,1.0
244,1.0
245,3.0
246,3.0
247,3.0
248,1.0
249,26.0
250,4.0
251,10.0
252,1.0
253,4.0
254,1.0
255,2.0
256,1.0
257,1.0
258,1.0
259,6.0
260,17.0
261,1.0
262,15.0
263,6.0
264,1.0
265,1.0
266,1.0
267,2.0
268,8.0
269,1.0
270,9.0
271,10.0
272,14.0
273,1.0
274,3.0
275,1.0
276,7.0
277,8.0
278,10.0
279,1.0
280,8.0
281,30.0
282,1.0
283,21.0
284,1.0
285,2.0
286,10.0
287,5.0
288,1.0
289,1.0
290,7.0
291,2.0
292,10.0
293,12.0
294,8.0
295,7.0
296,3.0
297,1.0
298,5.0
299,1.0
300,2.0
301,4.0
302,2.0
303,3.0
304,10.0
305,1.0
306,21.0
307,7.0
308,2.0
309,2.0
310,10.0
311,3.0
312,1.0
313,3.0
314,2.0
315,28.0
316,1.0
317,2.0
318,1.0
319,2.0
320,5.0
321,13.0
322,1.0
323,11.0
324,2.0
325,2.0
326,4.0
327,9.0
328,1.0
329,1.0
330,1.0
331,13.0
332,2.0
333,11.0
334,14.0
335,4.0
336,22.0
337,8.0
338,1.0
339,1.0
340,18.0
341,5.0
342,3.0
343,2.0
344,6.0
345,16.0
346,1.0
347,15.0
348,1.0
349,1.0
350,37.0
351,10.0
352,3.0
353,14.0
354,4.0
355,3.0
356,1.0
357,2.0
358,11.0
359,3.0
360,1.0
361,3.0
362,1.0
363,1.0
364,1.0
365,3.0
366,1.0
367,2.0
368,4.0
369,2.0
370,8.0
371,24.0
372,5.0
373,10.0
374,1.0
375,1.0
376,1.0
377,11.0
378,13.0
379,3.0
380,7.0
381,1.0
382,5.0
383,6.0
384,6.0
385,13.0
386,4.0
387,25.0
388,3.0
389,3.0
390,5.0
391,4.0
392,14.0
393,2.0
394,4.0
395,1.0
396,7.0
397,2.0
398,1.0
399,2.0
400,1.0
401,4.0
402,14.0
403,2.0
404,1.0
405,21.0
406,6.0
407,15.0
408,2.0
409,2.0
410,6.0
411,6.0
412,22.0
413,25.0
414,1.0
415,7.0
416,25.0
417,2.0
418,1.0
419,2.0
420,3.0
421,3.0
422,8.0
423,8.0
424,1.0
425,1.0
426,7.0
427,12.0
428,6.0
429,8.0
430,27.0
431,2.0
432,1.0
433,64.0
434,2.0
435,7.0
436,2.0
437,4.0
438,1.0
439,6.0
440,2.0
441,2.0
442,1.0
443,26.0
444,5.0
445,2.0
446,15.0
447,3.0
448,1.0
449,7.0
450,1.0
451,5.0
452,1.0
453,3.0
454,4.0
455,2.0
456,2.0
457,2.0
458,2.0
459,6.0
460,5.0
461,1.0
