,moves
0,1.0
1,5.000399960003999
2,3.6666666311182206
3,10.251974907488252
4,8.400839768012803
5,7.833749727258392
6,6.856913977218287
7,6.374462216361871
8,7.222422108238504
9,6.599619786127786
10,7.637054592786874
11,7.083358171479173
12,6.768876670904602
13,6.427799665921994
14,7.333880182319203
15,7.2503875738212935
16,7.294553002388619
17,6.944260870284514
18,6.63084163179415
19,6.398859400359296
20,6.4752567616995975
21,7.000209439378783
22,6.782330461195339
23,7.710197233351079
24,7.441144735771927
25,7.1927886255447975
26,6.9628293040750115
27,6.8925388396133895
28,6.6887784553598255
29,6.498602133483219
30,6.547179745176343
31,6.37329251161324
32,6.301144204534452
33,6.410293434391706
34,6.541874210618164
35,6.387393910422411
36,6.295512787937726
37,6.182054270505912
38,6.306061313222281
39,6.172891836041333
40,6.046218464690772
41,6.3080934030631415
42,6.347605533359247
43,6.545097535959473
44,6.465970496927445
45,6.346609606291493
46,6.53157240841383
47,7.022799226129254
48,7.001825433054758
49,6.881199863510926
50,6.824422844980123
51,7.272383570231934
52,7.21031890641184
53,7.094702474182639
54,7.184372115387441
55,7.073328473106311
56,6.9661811389689925
57,6.862728579795616
58,7.035545078005185
59,7.102009879251497
60,7.017867599528052
61,6.952667226231568
62,6.873565113367874
63,6.78121134267618
64,6.769115633573957
65,6.681135465243522
66,6.59578160814268
67,6.616570525881724
68,6.5492077700040285
69,6.7858441779871175
70,6.831431563836267
71,6.959678933413225
72,7.194792486692254
73,7.314652396440585
74,7.256696992433213
75,7.187009946418933
76,7.106047036837078
77,7.040079610690641
78,6.963025073899925
79,6.887896940088396
80,6.889292028429584
81,6.816888154112836
82,6.746228990085493
83,6.677252225265766
84,6.633626066575662
85,6.8138277021557805
86,6.74642582581813
87,6.680555848503101
88,6.6728416743051
89,6.676509210772386
90,6.6579197488594515
91,6.628765651694972
92,6.5676828328801005
93,6.56158732287272
94,6.555620143130476
95,6.675968384288228
96,6.710566736330199
97,6.651728665956377
98,6.594079281125399
99,6.588079488279814
100,6.652200724259918
101,6.883420079855143
102,6.874755415864878
103,6.817683636855663
104,6.761698978159387
105,6.7925708425045705
106,7.011769571848303
107,6.9555073839844175
108,7.159942230065678
109,7.130901265390254
110,7.175251247433998
111,7.236865297171364
112,7.190000436352694
113,7.188314864075377
114,7.142682877494128
115,7.132718460800708
116,7.079691764228841
117,7.096156683241174
118,7.112344868193523
119,7.060800197284964
120,7.135567840660291
121,7.084665400843607
122,7.05105000030418
