,moves
0,1.0
1,3.0001999800019994
2,2.3333333155591105
3,3.25027497750125
4,3.4002799600016003
5,5.6680333144143376
6,5.000771268555438
7,4.500324757510764
8,7.335888946557938
9,7.702629876835534
10,7.638690545273522
11,8.252807943923566
12,7.6942299721170855
13,7.3584918077485835
14,6.933998696914787
15,6.687754830796542
16,6.470480854451696
17,6.166048371094514
18,5.999114164950798
19,6.349823873286505
20,6.094560576830118
21,5.8625030670785865
22,6.217086117690984
23,5.999207242157898
24,5.919046900669354
25,5.729379472845494
26,5.776561938118855
27,5.712941854846224
28,5.549971211894777
29,5.397865307874673
30,5.449702251758646
31,5.310217603652435
32,5.361587141385963
33,5.705024104199104
34,6.000167355785739
35,6.000162690726404
36,6.515522411257029
37,6.475492516246877
38,6.540469733706825
39,7.028857507382091
40,6.88122331551067
41,6.931877467402133
42,7.096943658977051
43,6.957780145617307
44,7.204243931889832
45,7.5928514618835985
46,7.45193186564616
47,7.588992035496466
48,7.720457870639224
49,7.645683561620165
50,7.5344295371226915
51,7.7753765455996104
52,7.646873435089436
53,7.523129742756556
54,7.422166027558051
55,7.306852670966877
56,7.654284601649217
57,7.556240275017138
58,7.444471886978242
59,7.487315776353553
60,7.380327050022756
61,7.374155252415701
62,7.432065862466495
63,7.7869157320251805
64,7.836664795438946
65,7.76290468905727
66,7.901683585990908
67,8.228840732461952
68,8.254684628637868
69,8.150329623263673
70,8.048914242823223
71,8.272033566684685
72,8.571824830810643
73,8.523203761834043
74,8.475879278038818
75,8.376772948722936
76,8.280240858678532
77,8.328298178688977
78,8.247566778399264
79,8.24444768535096
80,8.228960913995925
81,8.140086941550509
82,8.259857718576663
83,8.520822724301368
84,8.562098962819292
85,8.520326189230719
86,8.433140238460734
87,8.542802984412726
88,8.513980037381854
89,8.429746216515376
90,8.60239223469588
91,8.584815970805302
92,8.502506283680678
93,8.583010828350856
94,8.502437092518129
95,8.423542026138515
96,8.439950669095225
97,8.363294119709147
98,8.288186236542758
99,8.234779186412974
100,8.452438288299229
101,8.398441367537911
102,8.463190051280408
103,8.497549275027122
104,8.425398954827214
105,8.41181012448859
106,8.615714820585225
107,8.59123519992191
108,8.53938355028722
109,8.470094001486256
110,8.40205296291045
111,8.335226992321582
112,8.36802315322907
113,8.31152979197976
114,8.256018966149012
115,8.262506625305637
116,8.312115998735653
117,8.249421169080026
118,8.213288775610481
119,8.169325736861076
120,8.310097828194179
121,8.490043510256964
122,8.469551303002827
123,8.433061425707772
124,8.54294815626953
125,8.715379477245518
126,8.701701673096562
127,8.775270975635085
128,8.745629160767397
129,8.864490482967115
130,8.85007192855346
131,8.789819329525272
132,8.829512926515457
133,8.845926946234535
134,8.952182940692241
135,8.892918190377628
136,8.834518671837406
137,8.916541326627458
138,8.960913882514275
139,8.93946919871608
140,8.882369017873382
141,8.876067136051688
142,8.862760633988335
143,8.856683166929429
144,8.801715255168642
145,8.768347671203722
146,8.776849164680039
147,8.72352677550969
148,8.670920175000795
149,8.693446326914005
150,8.641728383445374
151,8.624084871070604
152,8.573493090137557
153,8.60267860135881
154,8.559421387842102
155,8.542759259426521
156,8.68157243861198
157,8.632187704486123
158,8.615370159268581
159,8.592412962693777
160,8.727517863117047
161,8.79195449488109
162,8.88677481987989
163,8.893674008240154
164,8.888168502764678
165,8.870481280187256
166,8.889533670426994
167,8.84178364351385
168,8.890872539369612
169,8.8436668834602
170,8.862440495092594
171,8.857340086390993
172,8.85229864773142
173,8.806385380921276
174,8.784253999925108
175,8.843319569497623
176,8.7982226588766
177,8.782222452575294
178,8.743654597932885
179,8.711170900415217
180,8.774669351990989
181,8.73117363301612
182,8.715975950900168
183,8.67880414987452
184,8.658550635531416
185,8.693278989067203
186,8.656816267138476
187,8.62616071504794
188,8.62278502873402
189,8.689167062552238
190,8.669482791986944
191,8.70839634691895
192,8.678247724301094
193,8.706212203443409
194,8.791401375669643
195,8.870518997215248
196,8.850484141746316
197,8.959417681419787
198,8.949375143970014
199,8.929232752009085
200,8.944817745577076
201,8.945096452006936
202,9.050924130379258
203,9.010652357627086
204,8.970773534441724
205,8.941191038299253
206,8.946412136083655
207,9.025201294790126
208,8.995768867026705
209,8.961754680284152
210,9.010335227695764
211,8.971747873277804
212,9.072579520753923
213,9.172468674574421
214,9.14314084280344
215,9.104624873649065
216,9.08529809442805
217,9.103647882835446
218,9.201159942309868
219,9.190933984577745
220,9.180800584308413
221,9.226015777367747
222,9.234148749363916
223,9.219386264649113
224,9.222933943176166
225,9.190249665503481
226,9.162358986140072
227,9.255842189428993
228,9.250232193299924
229,9.338081881834462
230,9.349872372311395
231,9.326275867091793
232,9.289705424784993
233,9.257821443404264
234,9.247987148168049
235,9.220885686158077
236,9.310646413777114
237,9.373840507108751
238,9.35081651058062
239,9.336518476666303
240,9.330838612896768
241,9.312507885254412
242,9.319621684797024
243,9.368664602571116
244,9.454945279447683
245,9.478042838574703
246,9.44701657896072
247,9.432771226962483
248,9.455688570764384
249,9.437418406893103
250,9.468307633692822
251,9.450127533527574
252,9.432091179862926
253,9.490908246669655
254,9.484911804386101
255,9.454922064514374
256,9.536927700349151
257,9.506957701500873
258,9.473257721488165
259,9.443763645484346
260,9.418427512694787
261,9.389367563923821
262,9.364431411287441
263,9.331907492753118
264,9.342243871603227
265,9.421980516875372
266,9.389591149854757
267,9.368939081451177
268,9.375166434184852
269,9.366130794955922
270,9.425391773197994
271,9.416231094285335
272,9.407137543059045
273,9.386859895089856
274,9.359255964865692
275,9.33557583917798
276,9.360305187127999
277,9.392251918762835
278,9.36869787223554
279,9.337968143390864
280,9.318435026584181
281,9.309980472080731
282,9.308853960078595
283,9.27876177503003
284,9.248880819770186
285,9.262373921448228
286,9.232754066825342
287,9.228349664948167
288,9.209732533179979
289,9.22673260522162
290,9.23300470907813
291,9.263910718047443
292,9.245415523649264
293,9.318097665852651
294,9.337930087805821
295,9.36110747509174
296,9.34945237656205
297,9.341331865250472
298,9.326375440710391
299,9.297782836475301
300,9.31045519240992
301,9.309395946143116
302,9.369561508215996
303,9.341187541690019
304,9.343413904191326
305,9.392786765275634
306,9.367961740907736
307,9.370077447849134
308,9.348820932484458
309,9.417517015344089
310,9.475822795069599
311,9.507308080753631
312,9.499045017054256
313,9.471122073988655
314,9.446651792902713
315,9.419071164551838
316,9.39166460419563
317,9.44231957263589
318,9.508834477166381
319,9.574933523010412
320,9.55700452045159
321,9.587281903718381
322,9.59819141459722
323,9.612220730242912
324,9.677006535482777
325,9.741394742324573
326,9.720099567441322
327,9.69263519013005
328,9.684179545432341
329,9.669513006205218
330,9.673666691999117
331,9.64666701352516
332,9.650867478084509
333,9.624094725440756
334,9.640684083267569
335,9.617173755720508
336,9.593803007676025
337,9.610342674422139
338,9.584075384876412
339,9.588382620917875
340,9.562330841324044
341,9.569704312337562
342,9.631327872100368
343,9.611382082353794
344,9.657538556524864
345,9.631643708574954
346,9.641690479538326
347,9.633832994502587
348,9.623054370232477
349,9.603463352780977
350,9.637081626455922
351,9.641091029655644
