,moves
0,8.0
1,19.0
2,1.0
3,25.0
4,41.0
5,1.0
6,5.0
7,3.0
8,2.0
9,1.0
10,2.0
11,1.0
12,18.0
13,7.0
14,2.0
15,7.0
16,1.0
17,9.0
18,1.0
19,11.0
20,20.0
21,5.0
22,2.0
23,1.0
24,17.0
25,1.0
26,2.0
27,1.0
28,1.0
29,1.0
30,7.0
31,2.0
32,15.0
33,2.0
34,29.0
35,18.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,33.0
42,7.0
43,6.0
44,52.0
45,2.0
46,20.0
47,12.0
48,2.0
49,6.0
50,1.0
51,1.0
52,25.0
53,1.0
54,1.0
55,21.0
56,18.0
57,2.0
58,4.0
59,29.0
60,3.0
61,5.0
62,7.0
63,1.0
64,3.0
65,1.0
66,5.0
67,2.0
68,2.0
69,35.0
70,12.0
71,19.0
72,18.0
73,36.0
74,2.0
75,3.0
76,24.0
77,1.0
78,33.0
79,1.0
80,9.0
81,2.0
82,2.0
83,90.0
84,20.0
85,2.0
86,19.0
87,27.0
88,66.0
89,5.0
90,35.0
91,2.0
92,4.0
93,87.0
94,1.0
95,22.0
96,11.0
97,3.0
98,2.0
99,12.0
100,24.0
101,1.0
102,3.0
103,1.0
104,2.0
105,23.0
106,8.0
107,1.0
108,2.0
109,1.0
110,11.0
111,1.0
112,3.0
113,16.0
114,1.0
115,35.0
116,15.0
117,3.0
118,2.0
119,1.0
120,2.0
121,4.0
122,14.0
123,11.0
124,2.0
125,1.0
126,7.0
127,2.0
128,3.0
129,13.0
130,2.0
131,15.0
132,4.0
133,1.0
134,2.0
135,2.0
136,5.0
137,2.0
138,14.0
139,15.0
140,1.0
141,1.0
142,37.0
143,3.0
144,4.0
145,2.0
146,1.0
147,7.0
148,1.0
149,1.0
150,31.0
151,2.0
152,1.0
153,8.0
154,11.0
155,3.0
156,11.0
157,2.0
158,2.0
159,3.0
160,5.0
161,10.0
162,14.0
163,1.0
164,15.0
165,3.0
166,2.0
167,2.0
168,3.0
169,1.0
170,25.0
171,7.0
172,1.0
173,6.0
174,4.0
175,29.0
176,50.0
177,1.0
178,11.0
179,1.0
180,7.0
181,23.0
182,2.0
183,4.0
184,1.0
185,2.0
186,1.0
187,38.0
188,2.0
189,25.0
190,8.0
191,1.0
192,9.0
193,112.0
194,14.0
195,5.0
196,1.0
197,15.0
198,2.0
199,3.0
200,12.0
201,4.0
202,41.0
203,2.0
204,2.0
205,1.0
206,1.0
207,8.0
208,1.0
209,1.0
210,1.0
211,39.0
212,7.0
213,17.0
214,2.0
215,17.0
216,23.0
217,20.0
218,38.0
219,5.0
220,2.0
221,17.0
222,34.0
223,18.0
224,1.0
225,1.0
226,14.0
227,1.0
228,7.0
229,2.0
230,32.0
231,2.0
232,2.0
233,19.0
234,25.0
235,1.0
236,43.0
237,41.0
238,10.0
239,16.0
240,6.0
241,9.0
242,5.0
243,3.0
244,4.0
245,3.0
246,6.0
247,4.0
248,11.0
249,1.0
250,2.0
251,5.0
252,7.0
253,9.0
254,18.0
255,1.0
256,6.0
257,3.0
258,25.0
259,3.0
260,3.0
261,8.0
262,1.0
263,15.0
264,18.0
265,1.0
266,11.0
267,2.0
268,2.0
269,29.0
270,13.0
271,6.0
272,5.0
273,3.0
274,20.0
275,25.0
276,19.0
277,1.0
278,5.0
279,4.0
280,9.0
281,4.0
282,1.0
283,2.0
284,7.0
285,8.0
286,18.0
287,4.0
288,13.0
289,14.0
290,2.0
291,2.0
292,5.0
293,8.0
294,40.0
295,1.0
296,9.0
297,12.0
298,2.0
299,1.0
300,1.0
301,1.0
302,13.0
303,3.0
304,24.0
305,1.0
306,1.0
307,3.0
308,21.0
309,3.0
310,35.0
311,9.0
312,3.0
313,3.0
314,9.0
315,1.0
316,15.0
317,13.0
318,24.0
319,1.0
320,8.0
321,39.0
322,2.0
323,3.0
324,34.0
325,1.0
326,12.0
327,10.0
328,69.0
329,3.0
330,22.0
331,2.0
332,3.0
333,3.0
334,33.0
335,4.0
336,17.0
337,2.0
338,19.0
339,3.0
340,2.0
341,2.0
342,6.0
343,3.0
344,3.0
345,2.0
346,2.0
347,7.0
348,1.0
349,8.0
350,3.0
351,1.0
352,2.0
353,1.0
354,5.0
355,3.0
356,9.0
357,3.0
358,6.0
359,1.0
360,6.0
361,4.0
362,38.0
363,3.0
364,10.0
365,1.0
366,4.0
367,11.0
368,11.0
369,7.0
370,3.0
371,3.0
372,5.0
373,3.0
374,13.0
375,4.0
376,2.0
377,2.0
378,1.0
379,1.0
380,4.0
381,3.0
382,5.0
383,1.0
384,5.0
385,4.0
386,4.0
387,1.0
388,16.0
389,16.0
390,28.0
391,3.0
392,10.0
393,2.0
394,7.0
395,15.0
396,2.0
397,27.0
398,1.0
399,8.0
400,23.0
401,6.0
402,3.0
403,1.0
404,6.0
405,1.0
406,1.0
407,8.0
408,1.0
409,18.0
410,6.0
411,1.0
412,3.0
413,4.0
414,2.0
415,16.0
416,1.0
417,8.0
418,8.0
419,5.0
420,2.0
421,1.0
422,3.0
423,2.0
424,10.0
425,1.0
426,65.0
427,2.0
428,1.0
429,4.0
430,1.0
431,6.0
432,6.0
433,8.0
434,4.0
435,1.0
436,16.0
437,3.0
438,10.0
439,1.0
440,1.0
441,4.0
442,1.0
443,2.0
444,33.0
445,1.0
446,4.0
447,4.0
448,1.0
449,6.0
450,5.0
451,1.0
452,3.0
453,5.0
454,2.0
455,1.0
456,4.0
457,11.0
458,3.0
459,5.0
460,5.0
461,2.0
462,1.0
463,5.0
464,1.0
465,4.0
466,28.0
467,10.0
468,20.0
469,2.0
470,5.0
471,10.0
472,1.0
473,2.0
474,8.0
475,8.0
476,29.0
477,9.0
478,23.0
479,1.0
480,5.0
481,1.0
482,3.0
483,2.0
484,6.0
485,1.0
486,4.0
487,7.0
488,1.0
489,1.0
490,4.0
491,1.0
492,1.0
493,10.0
494,1.0
495,4.0
496,1.0
497,1.0
498,1.0
499,1.0
500,1.0
501,10.0
502,1.0
503,5.0
504,7.0
505,3.0
506,10.0
507,8.0
508,2.0
509,1.0
510,5.0
511,8.0
512,2.0
513,4.0
514,1.0
515,2.0
516,2.0
517,6.0
518,2.0
519,6.0
520,3.0
521,2.0
522,13.0
523,1.0
524,14.0
525,3.0
526,42.0
527,14.0
528,3.0
529,2.0
530,7.0
531,2.0
532,8.0
533,2.0
534,4.0
535,2.0
536,1.0
537,16.0
538,1.0
539,3.0
540,1.0
541,17.0
542,3.0
543,2.0
544,1.0
545,1.0
546,7.0
547,3.0
548,1.0
549,3.0
550,1.0
551,7.0
552,5.0
553,3.0
554,2.0
555,2.0
556,1.0
557,4.0
558,2.0
559,4.0
560,5.0
561,2.0
562,1.0
563,20.0
564,1.0
565,6.0
566,2.0
567,5.0
568,3.0
569,2.0
570,4.0
571,1.0
572,1.0
573,9.0
574,2.0
575,3.0
576,1.0
577,11.0
578,27.0
579,5.0
580,1.0
581,2.0
582,2.0
583,1.0
584,4.0
585,2.0
586,9.0
587,42.0
588,8.0
589,4.0
590,3.0
591,8.0
592,5.0
593,2.0
594,1.0
595,3.0
596,6.0
597,2.0
598,5.0
599,3.0
600,6.0
601,4.0
602,6.0
603,3.0
604,38.0
605,5.0
606,2.0
607,1.0
608,7.0
609,2.0
610,3.0
611,1.0
612,1.0
613,1.0
614,7.0
615,2.0
616,4.0
617,2.0
618,3.0
619,2.0
620,1.0
621,6.0
622,5.0
623,4.0
624,2.0
625,6.0
626,2.0
627,3.0
628,5.0
629,1.0
630,3.0
631,9.0
632,7.0
633,2.0
634,4.0
635,2.0
