,moves
0,8.0
1,13.500549945005499
2,9.332866648898664
3,13.25082498249575
4,18.802879919953607
5,15.8342496438934
6,14.285570982923442
7,12.873887023897634
8,11.664710658022514
9,10.597279608357574
10,9.814927007745396
11,9.07954153365548
12,9.766554292884718
13,9.568686300597154
14,9.063400567783852
15,8.934244517589896
16,8.466777200827764
17,8.496451071416777
18,8.101190493616587
19,8.246406493485459
20,8.80722140903111
21,8.633802267982798
22,8.344741164214575
23,8.03800596570708
24,8.397346651884167
25,8.11212153805299
26,7.885157660126691
27,7.638594737504203
28,7.409036197215261
29,7.194781601026501
30,7.188479457410444
31,7.025836388194483
32,7.268251683462896
33,7.112791280100029
34,7.740268412162229
35,8.026259460566093
36,7.835676191192223
37,7.6551236647338
38,7.483830285581931
39,7.32110161768861
40,7.166310974864177
41,7.783923778221717
42,7.765616326425389
43,7.725315909532262
44,8.713532628711741
45,8.56692861130495
46,8.811305996896527
47,8.878049795632082
48,8.737006676431049
49,8.681997914034952
50,8.530616212458975
51,8.385056933500717
52,8.700179178091133
53,8.55682627504177
54,8.418686254550941
55,8.644590336147232
56,8.809641050871974
57,8.691563041278298
58,8.611582989219396
59,8.953398474831374
60,8.855215105604367
61,8.79265419293189
62,8.764022603564484
63,8.641943976813112
64,8.554588213543232
65,8.439379230934767
66,8.387705708064418
67,8.293138161252465
68,8.201311744373434
69,8.586797454654734
70,8.635207982965246
71,8.780187793243364
72,8.907398002489153
73,9.276193039444415
74,9.178457539920858
75,9.096550887225924
76,9.291576693459469
77,9.184453909588264
78,9.488273725003703
79,9.381329991523158
80,9.376584456247505
81,9.285895576959675
82,9.197392020243617
83,10.167332914881943
84,10.283985640429297
85,10.186839250005951
86,10.289013514784157
87,10.480567766776302
88,11.109886539898568
89,11.04139300042203
90,11.307050719117417
91,11.20496386675992
92,11.126776297819568
93,11.94146712090189
94,11.82520790653733
95,11.93220525789307
96,11.922502352079688
97,11.830570527176505
98,11.730295659622621
99,11.733019488281911
100,11.855693178749135
101,11.74818641326405
102,11.66238341022663
103,11.558801023110282
104,11.46681489147634
105,11.57676480772466
106,11.542981561174862
107,11.444313240283458
108,11.356729154895262
109,11.261547223188241
110,11.259164931252048
111,11.166544862549834
