,moves
0,3.0
1,9.5006499350065
2,7.6667332711226654
3,7.750074947513248
4,8.600399952007997
5,7.666533244467997
6,7.285371348609138
7,6.6242374138161155
8,6.7772222296977604
9,7.700330195010871
10,7.454600098187611
11,8.167500267702405
12,10.465062442686666
13,11.576143802153897
14,11.003600175204832
15,11.879687807693683
16,11.238681791884993
17,10.724548772195954
18,10.369987792897598
19,10.151073046908609
20,9.714435668296726
21,9.36304270646503
22,8.998631730988873
23,8.956926312732174
24,8.758173078158416
25,8.497593065321306
26,8.367715529252818
27,8.10387182898957
28,7.996541842075097
29,8.130377770690618
30,7.899674950142804
31,8.122248570799693
32,7.936131660331512
33,7.849489593918014
34,7.939810532482603
35,7.857863018642174
36,7.807469546819955
37,7.812554904693786
38,7.637209470248082
39,7.470631350826275
40,7.385642801314952
41,7.615495769514077
42,7.507707271876951
43,7.35916802688365
44,7.217230567738888
45,7.0814643431916595
46,6.951475444650618
47,6.847834179543287
48,7.076523459193932
49,6.994592891650953
50,7.053817542201717
51,6.936803304385447
52,6.824204737211185
53,6.846094314117661
54,6.7575069173074835
55,6.690038911468022
56,6.766076432395255
57,6.926191085643136
58,6.893354083997912
59,6.794550940671978
60,6.715479269713646
61,6.817461997480061
62,6.72454771221017
63,6.697431560284339
64,6.825982500551112
65,6.737135101115107
66,6.680988069005312
67,6.596883207305821
68,6.529807719223056
69,6.450264204405082
70,6.642444381121275
71,6.619470328735471
72,6.555733261868479
73,6.480106459621408
74,6.527386479760197
75,6.454110953986461
76,6.788403208715685
77,6.76529798548921
78,6.69174889435703
79,6.821622517028398
80,6.749174202890459
81,6.7522578943429545
82,6.803856257288484
83,6.734187744460817
84,6.666158528847081
85,6.5997114256607174
86,6.66231898840983
87,6.631801429028133
88,6.579299458539364
89,6.516753948861007
90,6.47775949349539
91,6.615113007122082
92,6.554178345481695
93,6.494540202971922
94,6.468034316604607
95,6.4210488024779435
96,6.385440642115863
97,6.391772673316556
98,6.510180191425566
99,6.515127035182756
100,6.549976868603069
101,6.623756393913662
102,6.56859808290453
103,6.524215295586216
104,6.480677924872679
105,6.4474953961326955
106,6.396042731521094
107,6.345542930047656
108,6.397980882732899
109,6.385132953727716
110,6.390733444485407
111,6.351093762697806
112,6.303206667997864
113,6.256159733200992
114,6.209931041092293
115,6.164499430222905
116,6.119844462612299
117,6.07594639309285
118,6.083803526378358
119,6.040932421199964
120,6.082410160191015
121,6.106615326703308
122,6.146886210519738
123,6.137522913343768
124,6.144508629886826
125,6.151383456312493
126,6.21396543385673
127,6.188536136254219
128,6.147797967106166
129,6.107686573510463
130,6.276985111241978
131,6.313236234147158
132,6.272757511597855
133,6.232882984434545
134,6.238641806015068
135,6.214505377134668
136,6.175923372848685
137,6.262784129397866
138,6.2389854847613835
139,6.201041663494741
140,6.178019966036665
141,6.141038533965339
142,6.24642964583311
143,6.343312683232956
144,6.3479070813670715
145,6.310743957547511
146,6.329306576369818
147,6.292765896043407
148,6.386128812952715
149,6.390282560036438
150,6.3674919361297935
151,6.358358763677735
152,6.322801851954298
153,6.33386020707874
154,6.298915612047506
155,6.303479752269867
156,6.2691699873723605
157,6.235294558744969
158,6.201845271363684
159,6.17516402335252
160,6.161436398736668
161,6.154151007674848
162,6.159424773874797
163,6.133646831102948
164,6.157465615520098
165,6.125881155614181
166,6.09467498724043
167,6.075945006470835
168,6.05141959169958
169,6.021200427226941
170,5.997282655455268
171,6.003212650972017
172,6.009074084907663
173,5.985632581167204
174,5.974087562264893
175,5.951110116917826
176,5.9283923303712465
177,5.900211837382394
178,5.90077929375496
179,5.884373704676229
180,5.8625245196622
181,5.835320919040718
182,5.830672755467767
183,5.820540288659247
184,5.805011912897899
185,5.833461778620071
186,5.8071307123258356
187,5.781079796227711
188,5.755304583497141
189,5.778069924112173
190,5.76858268515639
191,5.76981114832452
192,5.829122854281856
193,5.803747019718698
194,5.789088126972342
195,5.7745788336220585
196,5.755040590445338
197,5.735699728655581
198,5.742179604254913
199,5.723093939908191
