,moves
0,1.0
1,2.0
2,3.0
3,5.0
4,9.0
5,59.0
6,29.0
7,19.0
8,28.0
9,17.0
10,1.0
11,1.0
12,2.0
13,4.0
14,4.0
15,1.0
16,9.0
17,1.0
18,1.0
19,13.0
20,2.0
21,3.0
22,2.0
23,43.0
24,47.0
25,1.0
26,3.0
27,1.0
28,27.0
29,9.0
30,2.0
31,8.0
32,3.0
33,5.0
34,9.0
35,23.0
36,1.0
37,16.0
38,28.0
39,6.0
40,2.0
41,53.0
42,2.0
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,11.0
49,2.0
50,1.0
51,1.0
52,4.0
53,3.0
54,1.0
55,6.0
56,40.0
57,10.0
58,20.0
59,3.0
60,4.0
61,10.0
62,1.0
63,7.0
64,1.0
65,4.0
66,3.0
67,2.0
68,13.0
69,3.0
70,2.0
71,2.0
72,2.0
73,5.0
74,22.0
75,12.0
76,6.0
77,2.0
78,1.0
79,1.0
80,3.0
81,1.0
82,5.0
83,1.0
84,27.0
85,8.0
86,24.0
87,3.0
88,1.0
89,2.0
90,9.0
91,2.0
92,1.0
93,1.0
94,9.0
95,3.0
96,2.0
97,17.0
98,1.0
99,2.0
100,1.0
101,36.0
102,3.0
103,15.0
104,2.0
105,52.0
106,11.0
107,16.0
108,19.0
109,2.0
110,1.0
111,1.0
112,8.0
113,3.0
114,1.0
115,5.0
116,2.0
117,3.0
118,11.0
119,2.0
120,5.0
121,1.0
122,6.0
123,1.0
124,1.0
125,24.0
126,2.0
127,1.0
128,1.0
129,4.0
130,1.0
131,4.0
132,1.0
133,5.0
134,2.0
135,1.0
136,17.0
137,16.0
138,1.0
139,2.0
140,6.0
141,3.0
142,26.0
143,1.0
144,1.0
145,14.0
146,1.0
147,13.0
148,1.0
149,3.0
150,4.0
151,36.0
152,4.0
153,11.0
154,1.0
155,19.0
156,1.0
157,4.0
158,14.0
159,6.0
160,2.0
161,1.0
162,1.0
163,16.0
164,2.0
165,7.0
166,1.0
167,9.0
168,12.0
169,4.0
170,4.0
171,1.0
172,1.0
173,2.0
174,5.0
175,17.0
176,6.0
177,1.0
178,9.0
179,9.0
180,2.0
181,7.0
182,2.0
183,2.0
184,18.0
185,2.0
186,9.0
187,36.0
188,13.0
189,2.0
190,8.0
191,1.0
192,1.0
193,13.0
194,6.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,3.0
201,4.0
202,2.0
203,1.0
204,1.0
205,9.0
206,4.0
207,4.0
208,1.0
209,2.0
210,6.0
211,3.0
212,1.0
213,2.0
214,16.0
215,2.0
216,28.0
217,2.0
218,13.0
219,1.0
220,2.0
221,2.0
222,2.0
223,2.0
224,1.0
225,1.0
226,1.0
227,11.0
228,1.0
229,23.0
230,1.0
231,10.0
232,8.0
233,9.0
234,4.0
235,12.0
236,7.0
237,1.0
238,3.0
239,1.0
240,1.0
241,2.0
242,1.0
243,8.0
244,1.0
245,4.0
246,5.0
247,1.0
248,1.0
249,4.0
250,1.0
251,1.0
252,1.0
253,2.0
254,7.0
255,10.0
256,1.0
257,7.0
258,19.0
259,1.0
260,9.0
261,1.0
262,1.0
263,2.0
264,4.0
265,1.0
266,1.0
267,2.0
268,1.0
269,1.0
270,1.0
271,2.0
272,1.0
273,1.0
274,1.0
275,2.0
276,2.0
